English,Russian
luck,удача
perfectly,в совершенстве
georgia,Грузия
violent,жестокий
terror,террор
angle,угол
sacrifice,жертва
islamic,исламский
forever,навсегда
relax,расслабляться
completion,завершение
children,дети
ill,больной
voluntary,добровольно
dean,декан
rescue,спасать
functional,функционал
sharp,острый
bid,делать ставку
spouse,супруг
pray,молиться
pennsylvania,Пенсильвания
captain,капитан
grace,благодать
regulate,регулировать
computing,вычисление
regulative,регулирующий
ease,простота
comply,исполнять
sep,сент
institutional,институциональный
passenger,пассажирский
dramatic,драматический
iv,лишенный
poster,плакат
discharge,увольнять
transformation,преобразование
characterize,характеризовать
everyday,ежедневно
ray,рентген
cloud,облако
split,расколоть
illinois,Иллинойс
comprise,включать
shadow,тень
disagree,не соглашаться
joke,шутить
diagnosis,диагностика
jackson,джексон
significance,значение
wise,Мудрый
slip,соскальзывать
mon,понравившийся
liquid,жидкость
alan,Алан
prompt,незамедлительный
jersey,Джерси
weigh,взвешивать
torture,пытка
fox,лиса
trick,обманывать
bet,держать пари
ma,масса
products,продукты
wedding,свадьба
passion,страсть
administer,администрирование
reporting,составление отчетов
junior,младший
compound,сложный
praise,хвалить
charter,шартер
massachusetts,Массачусетс
improved,улучшен
standards,стандарты
recipient,получатель
wildlife,дикая природа
cluster,кластер
anger,злость
premiss,премиссия
lane,переулок
worship,поклонение
suicide,самоубийство
trademark,торговая марка
reflectance,рефлектность
relations,связи
recruit,нанимать на работу
dominate,доминировать
occupy,заниматься
cure,излечивать
container,контейнер
neck,шея
residential,Жилой
banking,банковское дело
nutrition,питание
curve,изгиб
heavily,тяжело
fig,Инжир
wed,мы б
newly,вновь
experimental,экспериментальный
grey,серый
resort,прибегнуть
orange,апельсин
minimize,минимизировать
vegetable,овощ
affiliate,аффилиатор
shell,оболочка
ethical,этичность
seller,продавец
shelter,приют
usage,использование
mandate,мандат
removal,удаление
tension,напряжение
excuse,извинение
warranty,гарантия
super,супер
smoking,курить
edward,эдвард
greek,греческий
toronto,Торонто
exclusive,эксклюзивный
intent,намерение
desktop,настольный
configuration,конфигурация
array,множество
chat,чат
undergraduate,бакалавриат
fraud,мошенничество
faster,Быстрее
consensus,консенсус
fishing,рыбная ловля
lifestyle,образ жизни
elementary,элементарный
browse,просматривать
adam,Адам
desert,пустыня
fluid,жидкость
breed,порода
remarque,решарк
santa,санта
democrat,демократ
seattle,синтл
davis,Дэвис
clip,зажим
illustration,иллюстрация
communications,коммуникации
transmit,передавать
pakistan,Пакистан
precisely,точно
louis,Луи
literary,литературный
extract,извлекать
hazard,опасность
lease,арендовать
kevin,Кевин
prince,принц
continuous,непрерывность
crazy,сумасшедший
literally,буквально
cope,справляться
glad,радостный
residence,резиденция
tall,высокий
veteran,ветеран
bike,велосипед
icon,значок
particle,частица
birthday,день рождения
mayor,мэр
classification,классификация
assault,атаковать
possession,владение
disclosure,раскрытие
recipe,рецепт приготовления
occasionally,время от времени
logical,логично
progressive,прогрессивный
specialize,специализироваться
verify,проверять
poetry,поэзия
breakfast,завтрак
earnings,доход
healthcare,здравоохранение
saint,святой
colorado,Колорадо
spain,Испания
organ,орган
integrity,честность
md,господство
narrative,повествование
confuse,спутать
angel,ангел
distinct,отчетливый
weakness,слабость
don,Дон
sanction,санкция
prise,приз
frequent,частый
appendix,приложение
attractive,привлекательный
till,пока
slave,раб
legitimate,легитим
aug,август
furniture,мебель
tonight,сегодня ночью
boss,босс
comic,комикс
palestinian,палестинский
creature,существо
eric,эрик
angry,злой
israeli,израильский
guilty,виновный
moore,мусора
correctly,правильно
el,эл
subscription,подписка
composition,состав
smooth,гладкий
radiation,радиация
islam,ислам
drag,"тащить, тянуть"
chronic,хронический
automatic,автоматический
founder,основатель
hi,Привет
bother,беспокоить
seal,тюлень
gross,валовой
crown,Корона
websites,веб-сайты
deem,считать
motivate,мотивировать
fri,пт
offering,предложить
concert,концерт
probability,вероятность
confront,конфронт
grab,схватить
acre,акр
mainstream,основное направление
processor,процессор
rail,рельс
mere,всего лишь
inflation,инфляция
diabetes,диабет
competitor,конкурентность
invention,изобретение
tendency,тенденция
satisfaction,удовлетворение
auto,авто
criticize,критиковать
vacation,отпуск
conversion,преобразование
physics,физика
memorial,мемориал
owe,быть должным
democrats,демократы
mechanical,механический
tight,тугой
dna,ДНК
organism,организм
programmer,программист
versus,против
rental,аренда
exploit,эксплуатация
cooperative,кооператив
resist,оказывать сопротивление
wrap,сворачивать
spin,вращаться
rape,изнасилование
anxiety,беспокойство
orientation,ориентация
thereby,тем самым
fort,форт
headline,Заголовок
actively,активно
lifetime,продолжительность жизни
ton,тонна
gradually,постепенно
modification,модификация
educator,преподаватель
query,запрос
calculation,расчет
donate,пожертвовать
boost,увеличение
communist,коммунистический
simulation,симуляция
nearby,"рядом, поблизости"
continued,продолжение
dust,пыль
compose,составить
poker,покер
anticipate,предвидеть
bedroom,спальная комната
hunt,охота
hopefully,с надеждой
lung,легкое
exploration,исследование
shortly,в ближайшее время
placement,размещение
signature,подпись
matt,матовый
privilege,привилегия
remarkable,замечательный
silence,тишина
gulf,залив
married,женатый
prescription,рецепт
confusion,путаница
motivation,мотивация
equality,равенство
korean,корейский язык
cognitive,познавательно
beer,пиво
methodology,Методология
ceremony,церемония
warrant,ордер
os,Операционные системы
stroke,Инсульт
healing,выздоровление
receipt,чек
bonus,бонус
dig,копать землю
est,стандартное восточное время
dismiss,увольнять
compile,компилировать
chicken,курица
economist,экономист
indication,индикация
holder,владелец
deploy,развертывать
correction,коррекция
petition,петиция
productive,продуктивный
breath,дыхание
instant,мгновенный
interact,взаимодействовать
pa,парин
harry,Гарри
loose,свободный
habitat,естественная среда
jane,Джейн
defendant,подсудимый
elizabeth,Элизабет
uncertainty,неопределенность
retire,выходить на пенсию
semester,семестр
ingredient,ингредиент
fantasy,фантазия
intense,интенсивный
widespread,широко распространенный
corps,корпус
merit,цена
sam,Сэм
blair,блеск
anybody,никто
disabled,отключен
simon,Симон
font,шрифт
reinforce,усилить
bunch,связка
consume,потреблять
tactic,Тактика
refugee,беженцы
sand,песок
twelve,двенадцать
lens,объектив
directive,директива
congressional,конгресса
duration,продолжительность
equation,уравнение
extended,расширенный
games,игра
jeff,Джефф
atlantic,Атлантик
syndrome,синдром
fuck,Блядь
roof,крыша
paperback,мягкая обложка
pour,залить
on-line,онлайн
investigator,следователь
tue,вт
underlying,базовый
judicial,судебный
partly,частично
vaccine,вакцина
kennedy,Кеннеди
pot,горшок
coordinator,координатор
sole,единственный
ontario,Онтарио
ruling,постановление
remaining,осталось
disclose,раскрывать
full-time,на постоянной основе
pride,гордость
reservation,оговорка
thirty,тридцать
cabinet,кабинет
holding,держа
constraint,ограничение
racial,расовый
dictionary,толковый словарь
summit,саммит
drama,драма
printing,печать
turkey,Турция
thu,чепуха
theoretical,теоретический
impress,впечатление
lewis,Льюис
react,реагировать
remedy,средство
geographical,географический
delegate,делегирование
bath,ванна
bin,мусорное ведро
teachers,преподаватель
suffering,страдания
arrival,пребытие
separation,отделение
destination,место назначения
punishment,наказание
reproduce,воспроизводить
assert,утверждать
fibre,волокно
roughly,грубо
anymore,больше
enroll,зарегистрироваться
headquarters,штаб-квартира
baseball,бейсбол
pitch,подача
unite,притягиваться
commodity,товар
necessity,необходимость
belt,пояс
tourist,турист
entrance,Вход
coal,каменный уголь
lucky,счастливчик
civilization,цивилизация
jul,юллия
hon,утомитель
alien,чужак
keyboard,клавиатура
meaningful,значимый
strict,строгий
thick,толстый
guardian,опекун
chemistry,химия
strain,напряжение
graph,график
federation,федерация
smell,запах
bruce,озвучий
grain,зерно
tackle,снасти
pst,Тихоокеанское стандартное время
execution,исполнение
boot,ботинок
clark,кабинет
ethic,этика
oregon,орегон
loud,громко
susan,Сьюзен
bless,благословить
bowl,чаша
confident,уверенный
chest,грудь
invasion,вторжение
bread,хлеб
mathematical,математический
vitamin,витамин
summarize,суммировать
preferred,предпочтительнее
supervisor,руководитель
algorithm,алгоритм
terrible,ужасный
yours,ваша
sophisticated,сложный
pregnant,беременная
hollywood,голливудский
publicly,публично
experienced,опытный
genuine,подлинный
drinking,питьевой
undergo,подвергаться
nerve,нервность
tired,усталый
bulletin,бюллетень
classical,классический
disc,диск
rear,задний
taylor,Тейлор
revision,редакция
bury,хоронить
template,шаблон
patrick,Патрик
hint,намекать
learner,учащийся
scout,разведчик
coordination,координация
aggressive,агрессивный
stake,доли
ah,ах
champion,Чемпион
nasa,НАСА
subscriber,абонент
consistently,последовательно
citation,цитирование
grass,трава
monetary,денежный
globe,глобус
temple,храм
architect,архитектор
vulnerable,уязвимый
nose,нос
loop,петля
lawsuit,иск
slight,незначительный
conviction,убеждение
sink,раковина
stimulate,стимулировать
whilst,в то время как
registered,зарегистрировано
twin,близнец
blogging,блог
victoria,Виктория
tail,хвост
pen,ручка
lean,наклонять
clarify,объяснить
ben,Бен
mature,зрелый
mill,мельница
ford,предел
alexander,Александр
kansas,Канзас
tap,нажмите
pricing,ценообразование
musician,музыкант
historian,историк
brilliant,блестящий
impressive,впечатляющий
unity,единство
informal,неофициальный
accommodate,приспособиться
priest,священник
pioneer,пионер
absorb,поглощать
venue,место проведения
physically,физически
printer,принтер
athlete,спортсмен
shirt,Рубашка
mood,настроение
happiness,счастье
oxygen,кислород
wet,влажный
journalism,журналистка
extraordinary,необычный
reasonably,разумно
divine,божественный
favour,услуга
innocent,невиновный
hypothesis,гипотеза
prediction,прогноз
co,соревнование
jury,жюри
knock,постучать
solely,исключительно
viewer,просмотрщик
en,выделять
gary,ворс
imagination,воображение
embed,встраивать
cow,корова
legislature,законодательный орган
upset,расстройство
barbara,Барбара
layout,макет
saudi,саудовство
guitar,гитара
tremendous,огромный
mad,Сумасшедший
virtue,добродетель
equip,указывать
readily,легко
allowance,разрешение
quit,покидать
allen,аллен
alarm,тревога
partial,частичный
fantastic,фантастика
speciality,специальность
adverse,неблагоприятный
fool,дурак
elderly,пожилые люди
realistic,реалистично
iÂm,Им
marshall,марка
arizona,Аризона
jail,тюрьма
kim,потрясающий
decent,приличный
attendance,посещаемость
crystal,кристалл
controversy,противоречие
revolutionary,революционный
hook,крюк
convey,передавать
pipe,трубка
invent,изобретать
incredible,невероятный
damn,проклятие
rob,ограбить
licensing,лицензирование
outlook,прогноз
interval,интервал
dutch,Голландский
tourism,туризм
sudden,внезапный
barrel,бочонок
licensee,лицензиат
minimal,минимальный
advertisement,рекламное объявление
artificial,искусственный
fighter,истребитель
silent,тихий
scare,напугать
sec,раздел
le,леос
elite,элитная
scream,крик
essence,сущность
coastal,прибрежный
undermine,подорвать
respectively,соответственно
upcoming,предстоящий
literacy,грамотность
celebration,праздник
importantly,Главное
merchant,торговец
spare,запасной
prominent,видный
calm,спокойствие
preliminary,предварительный
allocate,выделить
preservation,консервация
vertical,вертикальный
anniversary,Годовщина
palm,Пальма
chase,гнаться
terminal,Терминал
substantially,по существу
mailing,почтовое отправление
gordon,Гордон
accountability,ответственность
suspend,приостановить
folder,папка
differently,иначе
minnesota,Миннесота
baghdad,Багдад
tutorial,руководство
spectrum,спектр
offensive,оскорбительный
dump,свалка
fortune,удача
maximize,максимизировать
mess,беспорядок
survivor,выживший
gospel,евангелие
publishers,издатели
afterward,позже
census,перепись
fbi,ФБР
mineral,минеральная
license,лицензия
attachment,вложение
knee,колено
endorse,одобрять
dramatically,резко
alternate,альтернатизировать
timing,время
prescribe,предписывать
surprising,удивительно
nervous,нервный
cease,прекратить
premier,премьер-министр
conscious,сознательный
treasury,Казначейство
corresponding,соответствующий
financing,финансирование
navigation,навигация
legacy,наследие
bishop,епископ
thesis,Тезис
float,плавать
arthur,Артур
identical,идентичный
kiss,целовать
soap,мыло
rally,ралли
borrow,одолжить
cruise,морское путешествие
login,авторизоваться
reprint,репринтировать
mining,добыча полезных ископаемых
freely,свободно
breach,нарушение
assemble,соберитесь
logo,логотип
rules,правила
broken,сломанный
diagnose,диагностировать
ranking,рейтинг
ward,сторожить
electronics,электроника
pharmaceutical,фармацевтический
castle,замок
delight,восторг
sports,спортивный
mixed,смешанный
respective,соответствующая
hunter,охотник
pages,страницы
taiwan,Тайвань
ghost,призрак
prophet,пророка
cookie,печенье
peaceful,мирный
qualified,квалифицированный
stare,глазеть
rough,грубый
commonwealth,Содружество
isolate,изолировать
schools,школы
advertise,рекламировать
dick,Дик
follow-up,следовать за
horror,фильм ужасов
pin,штырь
killer,убийца
rational,рациональный
kong,уклон
immune,невосприимчивый
christianity,христианство
rid,избавлять
node,узел
philadelphia,Филадельфия
bite,кусать
loving,любящий
clue,Подсказка
briefly,кратко
humor,юмор
accordingly,соответственно
verse,стихов
excellence,превосходство
dirty,грязный
shareholder,акционер
hip,бедро
cart,корзина
intensity,интенсивность
sales,продажи
larry,Ларри
pat,патент
consequently,как следствие
austin,Остин
fate,судьба
grave,могила
retailer,продавец
friendship,Дружба
inspector,инспектор
pentagon,пентагон
defect,дефект
enrolment,зачисление
shelf,полка
migration,миграция
rehabilitation,реабилитация
manuscript,рукопись
terminate,расторгнуть
annually,ежегодно
statutory,статус
obstacle,препятствие
subsequently,впоследствии
precise,точный
excessive,излишний
lover,возлюбленный
classify,классифицировать
singer,певица
evident,очевидно
thoroughly,тщательно
corruption,коррупция
auction,аукцион
dynamics,динамика
seize,захватывать
exemption,освобождение
diagram,диаграмма
creator,создатель
fifty,пятьдесят
hidden,скрытый
intensive,интенсивно
lip,губа
reduced,уменьшенный
handbook,справочник
sake,сакэ
harvest,урожай
lobby,лобби
fossil,ископаемое
pledge,залог
repeatedly,неоднократно
echo,эхо
downtown,в центре города
socialist,социалистический
deck,палуба
screening,скрининг
deployment,развертывание
beneficial,выгодный
taxpayer,налогоплательщик
nick,Ник
fascinating,очаровательный
gentleman,джентльмен
simultaneously,одновременно
na,носиль
plug,затыкать
matthew,Мэтью
handling,умение обращаться
briefing,брифинг
companion,спутник
complicated,сложный
lodge,домик
shower,душ
norm,норма
twist,крутить
egypt,Египет
records,рекорды
explorer,проводник
induce,индуцировать
muslims,мусульмане
hong,холма
creativity,креативность
objection,возражение
rome,Рим
tribe,племя
jews,евреи
flaw,недостаток
dish,блюдо
drill,дрель
tournament,турнир
km,км
tobacco,табак
maryland,Мэриленд
lovely,прекрасный
sydney,Сидней
naval,военно-морской
exclusively,исключительно
safeguard,защищать
courage,храбрость
excite,возбуждать
servant,слуга
heal,лечить
pursuit,преследование
steam,Стим
workforce,рабочая сила
interfere,вмешиваться
intel,интуиция
occupational,профессиональный
diego,диего
projection,проекция
curious,любопытный
coin,монета
humanitarian,гуманитарный
legend,легенда
density,плотность
stomach,желудок
philosophical,философский
selected,выбранный
stamp,печать
barely,едва
timely,своевременно
collaborative,совместный
robot,робот
creek,ручей
underground,под землей
sarah,Сара
dot,точка
cream,кремовый цвет
disposal,утилизация
bombing,бомбардировка
recruitment,набор персонала
subsidy,субсидия
alex,Алекс
inevitable,неизбежный
edinburgh,Эдинбург
rat,крыса
shore,берег
operations,операции
compelling,неотразимый
steady,устойчивый
combined,комбинированный
optional,по желанию
tribunal,сумасшедший
dominant,доминантность
controversial,спорный
convenient,удобный
ian,ян
stranger,чужой человек
short-term,в ближайщем будущем
behave,вести себя
detection,обнаружение
des,дес
breathe,дышать
neglect,пренебрегать
nato,НАТО
outdoor,на улице
injure,травмировать
toxic,токсично
legally,легально
roger,Роджер
header,заголовок
diamond,алмаз
stat,статистика
lawrence,Лоуренс
hunting,охота
petroleum,нефтья
engagement,помолвка
mm,мм
therapist,Терапевт
trustee,доверенность
badly,плохо
portable,портативный
refund,возвращать деньги
fleet,флот
acute,острый
grasp,понять
networking,сеть
spam,спам
surveillance,наблюдение
jean,джинс
shade,оттенок
grid,сетка
sacred,священный
darwin,Дарвин
tab,вкладка
poet,поэт
shortage,нехватка
ruin,руина
suck,отстой
balanced,уравновешенный
bathroom,ванная комната
shame,стыд
fellowship,стипендия
documentary,документальный
don’t,нет
pad,прокладка
parliamentary,парламентский
allocation,распределение
brazil,Бразилия
probe,зонд
genre,жанр
wto,вспомогательный
strive,стремиться
likewise,так же
textbook,учебник
profound,глубокий
persuade,убеждать
closed,закрыто
static,статический
bulk,масса
tragedy,трагедия
painful,болезненный
walker,ходок
namely,а именно
contributor,вкладчик
supervision,надзор
colony,колония
formerly,ранее
certified,проверенный
harris,херрис
withdrawal,снятие
vocabulary,запас слов
marketplace,рынок
transcript,транскриптация
governance,управление
wisconsin,Висконсин
outer,наружный
puzzle,головоломка
condemn,осуждать
cooperate,справиться
christopher,Кристофер
leak,утечка
nut,орех
shine,блеск
pretend,притворяться
blend,смешивать
coat,Пальто
brush,щетка
pope,папа
quantum,квантовый
ballot,избавление
donald,Дональд
reasoning,рассуждение
notification,уведомление
accurately,точно
unnecessary,ненужный
accessibility,доступность
discourse,дискурс
jazz,джаз
berkeley,Беркли
explicit,явный
additionally,Кроме того
tenant,жилец
blank,пустой
shield,щит
prospective,перспективы
assurance,заверение
fabric,ткань
photography,фотография
em,Эм
ie,т.е.
cattle,крупный рогатый скот
functionality,Функциональность
organizer,организатор
homeland,родная страна
discretion,осмотрительность
pile,куча
overlook,игнорировать
wealthy,богатый
pit,яма
inspiration,вдохновение
ecosystem,экосистема
teenager,подросток
championship,чемпионат
scripture,писание
hormone,гормон
nest,гнездо
atlanta,Атланта
litigation,судебный процесс
generic,розыгрыш
pursuant,в соответствии с
inadequate,неадекватный
skilled,квалифицированный
portrait,портрет
spray,спрей
max,Максимум
desirable,желательно
welsh,валлийский
drain,осушать
pole,столб
andy,Энди
caution,осторожность
librarian,библиотекарь
noble,благородный
trainer,тренер
mortality,смертность
animation,анимация
entrepreneur,предприниматель
nonprofit,некоммерческий
ceiling,потолок
appreciation,признательность
manipulate,манипулировать
va,вагон
politically,политически
officially,официально
bubble,пузырь
airline,авиакомпания
strictly,строго
anthony,Энтони
reception,стойка регистрации
ross,росс
affordable,доступный
pan,Сковорода
capitalism,капитализм
clerk,клерк
distant,далекий
fence,изгородь
netherlands,Нидерланды
artistic,художественный
sweep,подметать
hello,Привет
wherever,где бы
backup,резервное копирование
warfare,военное дело
euro,евро
weblog,ведущий
restoration,реставрация
lighting,осветительные приборы
reagan,Рейган
cape,мыс
monster,монстр
calorie,калорийность
works,работает
memo,памятка
accelerate,ускорить
binding,связывание
systematic,систематический
molecular,молекулярный
mars,Марс
ideology,идеология
douglas,Дуглас
municipal,муниципальный
tongue,язык
slope,склон
aviation,авиация
accumulate,накапливаться
meditation,медитация
proposition,предсказание
gdp,вспомогательный
glory,слава
reliability,надежность
comedy,комедия
simplify,упрощать
nutrient,питательное вещество
traprock,плоский
subtle,тонкий
quest,квест
burning,сжигание
jonathan,Джонатан
cartoon,мультфильм
rocket,ракета
adobe,амантичный
convict,осужденный
steven,стерена
ambassador,посол
didnÂt,Да не
dated,датированный
prevail,преобладать
dont,не
ron,рон
bend,сгибать
indigenous,местный
added,добавлен
linda,Линда
corn,кукуруза
jason,Джейсон
russell,Рассел
lincoln,Линкольн
bacterium,бактерия
psychologist,психолог
specialized,специализированное
houston,Хьюстон
pub,паб
forbid,запретить
incur,понадобиться
fifteen,пятнадцать
leap,прыгнуть
span,охватывать
fold,складывать
reed,отросток
broker,маклер
gathering,встреча
pipeline,трубопровод
freeze,заморозить
vancouver,Ванкувер
margaret,Маргарет
distributor,распределитель
attain,достигать
greg,Грег
allegation,утверждение
sixth,шестой
sensor,датчик
cinema,кино
insect,насекомое
registry,реестр
ritual,ритуал
shout,кричать
associated,связанный
comparable,сопоставимый
beef,говядина
nonetheless,тем не менее
spite,несмотря на
singapore,Сингапур
bass,бас
mixture,смесь
safely,благополучно
correspondence,корреспонденция
rebuild,перестраиваться
intermediate,средний
dawn,Рассвет
fraction,дробная часть
flame,пламя
pr,овладение
mechanic,механик
exempt,освобождать
reproduction,воспроизведение
conjunction,соединение
mandatory,обязательный
retreat,спасаться бегством
spotlight,прожектор
philosopher,философ
screw,винт
doc,док
licensed,лицензированный
counsellor,советник
confine,ограничивать
provincial,провинциальный
indonesia,Индонезия
continent,континент
indians,индейцы
depict,изображать
departure,Вылет из
convenience,удобство
iowa,Айова
transit,транзит
alleged,утверждать
credibleness,кредитоспособность
inclusion,включение
attraction,достопримечательности
diary,дневник
occasional,случайно
tolerance,толерантность
punish,наказывать
neutral,нейтральный
quarterly,ежеквартальный
laser,лазер
atom,атом
originate,возникать
planned,запланирован
scratch,царапать
enact,выяснять
wow,Вот это да
phil,Фил
blast,взрыв
rival,соперник
pink,розовый
grammar,грамматика
ryan,Райан
landing,посадка
skip,пропускать
mercury,Меркурий
relieve,облегчить
evolutionary,эволюционный
geography,география
non,не
honour,честь
revelation,откровение
karen,карен
advocacy,адвокация
adams,адамс
sphere,сфера
rebel,бунтарь
intake,потребление
plaintiff,истец
traditionally,традиционно
mrs,Г-жа
width,ширина
min,мин
explicitly,явно
surplus,избыток
drum,барабан
confidential,конфиденциальный
philip,филипп
outlet,торговая точка
bloggers,блоггеры
republicans,республиканцы
sensitivity,чувствительность
graham,Грэм
alike,одинаково
interim,промежуточный
recreation,воссоздание
separately,раздельно
indiana,Индиана
considerably,значительно
berlin,Берлин
explosion,взрыв
adolescent,подросток
darkness,тьма
amazon,амазонка
critique,критика
bow,поклон
piano,пианино
chronicle,хроника
baker,пекарь
dental,стоматологический
electoral,избирательный
unfair,несправедливый
ltd,лит
wound,ранить
motive,мотивы
exhaust,выхлоп
ecological,экологический
con,против
formulate,сформулировать
unexpected,непредвиденный
fred,Фред
alaska,Аляска
worthy,достойный
opera,опера
coming,приходящий
behavioral,поведенческий
cult,культ
missouri,Миссури
offender,преступник
chocolate,шоколад
enthusiasm,энтузиазм
liable,нести
shit,дерьмо
instruct,инструктировать
part-time,неполная занятость
cotton,хлопок
realm,область
prosecution,преследование
demographic,демографический
testament,завещание
beneath,под
pastor,пастор
vocal,вокал
canal,канал
nationwide,Национальный
activate,активировать
tennessee,Теннесси
prize,приз
diminish,уменьшаться
comments,Комментарии
vulnerability,уязвимость
matrix,матрица
tuition,обучение
quotation,цитата
nelson,нельсон
chaos,хаос
shed,пролить
required,требуется
panic,паника
testify,свидетельствовать
nancy,Нэнси
threshold,порог
eligibility,право собственности
portray,изображать
basketball,баскетбол
sufficiently,достаточно
empower,расширение возможностей
protective,защитный
thorough,тщательный
sketch,эскиз
cm,см
publications,публикации
merger,слияние
circulation,циркуляция
buck,бак
invitation,приглашение
sweden,Швеция
backward,обратно
modest,скромный
selling,продажа
phd,кандидат наук
gm,г
mentor,наставник
driving,вождение
arena,арена
lend,давать в долг
purely,чисто
northwest,северо-Запад
powell,пауэлл
pleasant,приятный
courtesy,учтивость
surgeon,хирург
gravity,сила тяжести
exclusion,исключение
merge,слияние
medieval,средневековый
overwhelming,подавляющий
poorly,плохо
referral,направления
footnote,сноска
reside,проживать
silly,глупый
duke,герцог
decision-making,принимать решение
uncle,дядя
tools,инструменты
surprisingly,удивительно
weird,странный
hurricane,ураган
ass,жопа
diagnostic,диагностический
cake,кекс
dallas,Даллас
vegas,вегас
stanford,Стэнфорд
manchester,Манчестер
swim,плавать
hardcover,Твердая обложка
denial,отрицание
laden,ладен
rick,револьвер
connecticut,Коннектикут
delegation,делегация
bankruptcy,банкротство
compatible,совместимый
thou,ты
jet,самолет
tyre,шина
faq,часто задаваемые вопросы
beam,луч
rep,реп
inherent,присущий
toilet,туалет
cave,пещера
cigarette,сигарета
packaging,упаковка
laptop,ноутбук
dare,посметь
collector,коллекционер
renewal,продление
wolf,волк
pill,таблетка
liver,печень
proprietary,Запрещено
se,свидетельствовать
biography,биография
counseling,консультирование
harmful,вредный
broadcasting,вещание
capitalist,капиталист
magnetic,магнитный
boom,бум
controller,контроллер
marker,маркер
franklin,Франклин
molecule,молекула
knife,нож
passive,пассивный
hierarchy,иерархия
nail,гвоздь
harbor,гавань
carol,Кэрол
earthquake,землетрясение
ridge,хребет
juice,сок
justification,Оправдание
walter,валтер
publicity,реклама
weed,сорняк
void,пустота
slot,стержень
conception,концепция
toll,потери
bold,жирный
theft,кража
mt,гореть
blessing,благословение
reconstruction,реконструкция
portal,портал
packet,пакет
multimedia,мультимедиа
glance,взглянуть мельком
inappropriate,неприличный
loyalty,верность
frustration,разочарование
mobility,мобильность
instructional,инструкция
closing,закрытие
disclaimer,отказ от ответственности
analytic,аналитический
eve,канун
hawaii,гавайцы
resemble,напоминать
aggregate,совокупность
islands,острова
monkey,обезьяна
von,варенье
mb,мб
making,изготовление
linear,линейный
heating,обогрев
manifest,манифест
prejudice,предрассудки
masque,маска
jerry,Джерри
ugly,уродливый
wright,оручитель
warming,согревание
sharing,общий
incredibly,невероятно
cholesterol,холестерин
accomplishment,достижение
exceptional,исключительно
stack,куча
stakeholder,акционер
nowhere,нигде
monopoly,монополия
correlation,корреляция
homosexual,гомосексуал
mit,мит
burst,лопаться
flee,бежать
similarity,сходство
fishery,рыболовство
potato,картошка
barry,барри
bicycle,велосипед
inherit,наследовать
miracle,чудо
annoy,раздражать
lisa,лиза
morris,Моррис
costly,дорого
hydrogen,водород
casualty,пострадавший
prerequisite,Предварительное условие
willingness,готовность
boil,кипятить
basket,корзина
farming,сельское хозяйство
fortunately,к счастью
disadvantage,недостаток
abc,азбука
bull,бык
der,отрицательный
propaganda,пропаганда
certify,сертифицировать
jordan,Иордания
partially,частично
dont,нет
continually,постоянно
altogether,вообще
nomination,номинация
statistics,статистика
dragon,Дракон
tunnel,туннель
gangue,совокупность
cooking,Готовка
mild,незначительный
competent,компетентный
renew,возобновить
dennis,дннис
seemingly,по-видимому
crude,грубый
counterpart,контрабарт
specified,указанный
congregation,община
independently,независимо
popularity,популярность
ethics,этика
gentle,нежный
overnight,с ночевкой
jon,Джон
hamilton,гамильтон
regret,сожалеть
generous,щедрый
resign,уходить в отставку
horizontal,горизонтальный
governmental,правительство
paradigm,парадигма
bargaining,торги
authorization,авторизация
romantic,романтик
leisure,досуг
firearm,огнестрельное оружие
sites,места
mould,форма
knight,рыцарь
loaded,загружен
renewable,возобновляемый
trait,черта характера
wounded,раненый
elaborate,разрабатывать
wa,вал
pause,Пауза
technologies,Технологии
grateful,благодарный
kidney,почка
charitable,Благотворительность
throat,горло
bibliography,Библиография
treasure,сокровище
photographer,фотограф
thompson,Томпсон
coaching,тренировка
surrender,сдаваться
conceive,зачать
conspiracy,заговор
awesome,классно
luxury,роскошь
retrieve,забрать
presumably,Предположительно
isolation,изоляция
commence,начать
millennium,тысячелетие
corrupt,коррумпировано
discourage,препятствовать
invade,вторгаться
diameter,диаметр
compensate,компенсировать
await,Ждите
alice,алиса
nominate,номинация
palace,дворец
offset,компенсировать
telecommunications,телекоммуникации
fame,слава
solo,соло
metaphor,метафора
invisible,невидимый
rifle,винтовка
bc,до н.э
scandal,скандал
dictate,диктовать
compact,свидетельствовать
elder,старейшина
horizon,горизонт
enhancement,улучшение
incorrect,неверный
urgent,срочный
confirmation,подтверждение
warehouse,склад
believer,верующий
firmly,твердо
terry,Терри
validity,срок действия
spokesman,пресс-секретарь
hazardous,опасный
defensive,оборонительный
tide,прилив
mississippi,Миссисипи
termination,расторжение
bean,боб
ct,кверху
iranian,Иранский
concerned,обеспокоенный
patrol,патруль
dell,осевать
correspond,соответствовать
arabia,аравия
favourite,любимый
orbit,орбита
soccer,футбольный
builder,строитель
youÂre,Ты
accessory,аксессуар
disappoint,разочаровываться
precious,драгоценный
garage,гараж
robinson,робинсон
flesh,плоть
thumb,большой палец
technician,техник
hike,поход
wooden,деревянный
upward,вверх
robin,Робин
campbell,кампбелл
bullet,пуля
retention,удержание
magnitude,величина
pig,свинья
rage,ярость
ounce,унция
sheep,овец
landlord,арендодатель
setup,настраивать
devil,дьявол
francis,Фрэнсис
kentucky,Кентукки
imaging,визуализация
influential,влиятельный
spy,шпион
